Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
84,0.840000,-0.009559,0.000809,-0.721125,0.692738,-357.748749,1437.147461,110.488014
85,0.850000,-0.009573,0.000810,-0.721252,0.692606,-357.755768,1437.140137,110.487534
86,0.860000,-0.009437,0.000893,-0.721117,0.692749,-357.742706,1437.138794,110.469093
87,0.870000,-0.009541,0.000825,-0.721120,0.692744,-357.739410,1437.136353,110.460236
88,0.880000,-0.009596,0.000913,-0.721097,0.692767,-357.744751,1437.137085,110.469627
89,0.890000,-0.009573,0.000865,-0.721187,0.692674,-357.759460,1437.137939,110.474655
90,0.900000,-0.009571,0.000973,-0.721203,0.692657,-357.759064,1437.142334,110.478111
91,0.910000,-0.009487,0.001052,-0.721090,0.692775,-357.744995,1437.139282,110.476898
92,0.920000,-0.009466,0.000990,-0.721108,0.692757,-357.740021,1437.137329,110.472519
93,0.930000,-0.009621,0.000886,-0.721158,0.692703,-357.741547,1437.127197,110.459488
94,0.940000,-0.009559,0.000935,-0.721109,0.692755,-357.747864,1437.134888,110.460442
95,0.950000,-0.009594,0.000821,-0.721175,0.692686,-357.761627,1437.126099,110.477196
96,0.960000,-0.009605,0.001040,-0.721090,0.692774,-357.750488,1437.141235,110.473846
97,0.970000,-0.009414,0.001020,-0.721063,0.692805,-357.746552,1437.136353,110.468483
98,0.980000,-0.009584,0.000874,-0.721210,0.692650,-357.748444,1437.125000,110.463837
99,0.990000,-0.009609,0.000877,-0.721179,0.692682,-357.741638,1437.125610,110.461021
100,1.000000,-0.009560,0.000979,-0.721120,0.692744,-357.738251,1437.133545,110.469048
