Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
25,0.25,-0.005431,-0.004315,-0.714608,0.699491,-13.925265,-570.832947,106.496269,-0.18677416466024244,-0.10909543604591121,0.04448110526845683,0.22082792277355323
26,0.26,-0.005867,-0.004221,-0.714657,0.699438,-13.935306,-570.827942,106.512505,-0.07453007326038967,-0.04915588357258978,-0.013951480569895924,0.09036413292946066
27,0.27,-0.005504,-0.004135,-0.714669,0.699429,-13.923509,-570.835693,106.500427,0.03846639817064205,0.06392089946326736,-0.0031705652392854944,0.07466992473782247
28,0.28,-0.004906,-0.004437,-0.714832,0.699265,-13.9082,-570.849854,106.489189,0.1265023722821489,0.043272699260085784,-0.04706951191438824,0.1417424271209011
29,0.29,-0.004877,-0.004676,-0.714898,0.699196,-13.916685,-570.838257,106.483589,0.03809843671098633,-0.029275313807378307,-0.019355221666017552,0.05179922281349578
30,0.3,-0.004496,-0.004799,-0.715134,0.698957,-13.941988,-570.858032,106.479523,0.0704113764729228,0.03728167609586674,-0.06765044012486676,0.10451922004309529
31,0.31,-0.005029,-0.004488,-0.71488,0.699215,-13.924325,-570.852661,106.4804,-0.11851429508663641,-0.03273890720284483,0.07319910944231234,0.1430929201877802
32,0.32,-0.005351,-0.004305,-0.714658,0.69944,-13.926331,-570.831848,106.483025,-0.07076848178585414,-0.020468330595908597,0.06368783458723382,0.09738208688495556
33,0.33,-0.004401,-0.004652,-0.714824,0.699275,-13.912457,-570.831543,106.454636,0.18217140872949275,0.08727949736721893,-0.04799444523928553,0.20762369708920286
34,0.34,-0.004901,-0.004242,-0.715132,0.698959,-13.913352,-570.879883,106.494415,-0.12910781558694504,-0.014164759318728484,-0.08742616268998527,0.15656564877036688
35,0.35,-0.005309,-0.004488,-0.715106,0.698981,-13.973285,-570.87262,106.500465,-0.02180694992771374,-0.0927504285341588,0.0068861896191374505,0.0955280307862076
36,0.36,-0.004251,-0.004627,-0.715084,0.69901,-13.903127,-570.875793,106.467331,0.167834954374227,0.1318874982031008,0.006125883432916979,0.213542526303089
37,0.37,-0.004264,-0.004945,-0.715183,0.698906,-13.958329,-570.863892,106.474396,0.04348191269109855,-0.04632835996568642,-0.028972499716151123,0.06983122086995838
38,0.38,-0.005054,-0.004366,-0.714801,0.699296,-13.918203,-570.843567,106.483658,-0.1925350528746196,-0.03200567600089446,0.11045583296256378,0.22426457793677673
39,0.39,-0.005551,-0.00412,-0.714689,0.699408,-13.905729,-570.853088,106.508095,-0.10446724056156313,-0.036661273352416465,0.03235841525379701,0.11534522249363112
40,0.4,-0.005197,-0.004176,-0.714849,0.699247,-13.911394,-570.857971,106.504837,0.0572120320767931,0.042811587888730296,-0.04574791785724175,0.0848464534331484
41,0.41,-0.005072,-0.004409,-0.714812,0.699284,-13.90013,-570.848511,106.502563,0.050862514365854636,-0.014721245163144478,0.010117733336201251,0.05390806020098156
42,0.42,-0.005241,-0.004119,-0.715236,0.698852,-13.953339,-570.895691,106.536537,-0.06590698073595004,0.01644698979232362,-0.1206158060090945,0.13842834334839524
43,0.43,-0.004823,-0.004519,-0.715517,0.698564,-14.015416,-570.893921,106.508965,0.11510947967450927,0.003942857409021307,-0.0812366633788697,0.1409437260484337
44,0.44,-0.004357,-0.004516,-0.7152,0.698892,-13.881132,-570.889099,106.496841,0.06527973600667855,0.06709597867299473,0.09080857911645257,0.13042052111664648
45,0.45,-0.00522,-0.00399,-0.71515,0.69894,-13.884892,-570.908569,106.518684,-0.19578078655154194,-0.049920291511138144,0.015092656038218077,0.2026078482033344
46,0.46,-0.004844,-0.004435,-0.714771,0.699328,-13.879955,-570.8479,106.48214,0.11691614134976216,-0.00851243122457759,0.10771065418828663,0.15919620164796458
47,0.47,-0.005704,-0.004252,-0.714557,0.699541,-13.909633,-570.808044,106.499191,-0.14604884031925827,-0.09736358481318481,0.06132058421308706,0.18593048554368038
48,0.48,-0.005301,-0.004241,-0.71466,0.699439,-13.899696,-570.832703,106.50927,0.05460703052138395,0.05916305046524267,-0.029317672012685314,0.08568383870345447
49,0.49,-0.004833,-0.004296,-0.715053,0.69904,-13.903831,-570.86615,106.507919,0.07257240814185625,0.059276590251714896,-0.1124610732126663,0.14638292784174853
50,0.5,-0.00472,-0.004534,-0.715154,0.698936,-13.907984,-570.884949,106.49894,0.0496475425662668,-0.01710584376165402,-0.0293208634184694,0.06014317422012184
51,0.51,-0.004815,-0.004306,-0.715067,0.699026,-13.90243,-570.880798,106.49324,-0.04572696622273369,0.018283044167159614,0.02533564272891864,0.05538158481337226
52,0.52,-0.005137,-0.004404,-0.714791,0.699306,-13.898991,-570.837402,106.484161,-0.030494618894961068,-0.059775854631792524,0.07881289089918253,0.10351109288572195
53,0.53,-0.005012,-0.004519,-0.714908,0.699186,-13.886925,-570.843445,106.477425,0.03369648637361047,0.0018002459972100808,-0.03374698035110146,0.0477237127892939
54,0.54,-0.005293,-0.004576,-0.714536,0.699564,-13.919494,-570.802979,106.479088,-0.03042917369035416,-0.04817979450966129,0.10626328797516127,0.12057824671873026
55,0.55,-0.005311,-0.004254,-0.714785,0.699311,-13.91806,-570.854004,106.50209,-0.049030254124347424,0.0425116332257505,-0.07063645839953114,0.09592035255485415
56,0.56,-0.004704,-0.004265,-0.714965,0.699132,-13.907253,-570.885803,106.483376,0.08612557890560818,0.08527529215927951,-0.05129260349754361,0.1316070741572536
57,0.57,-0.004896,-0.004563,-0.715392,0.698691,-14.056634,-570.866394,106.468185,0.014986118092416567,-0.06909735934953441,-0.12288234107865614,0.14177128959535398
58,0.58,-0.005605,-0.004118,-0.715344,0.698738,-14.069921,-570.875732,106.49498,-0.16265445892506636,-0.03926319945793122,0.01451489707835485,0.1679546191001445
